Company Name,Ticker Symbol,Industry Name,SIC Code,Exchange Code,Size class,Stock Price,Trading Volume,# of shares outstanding,Market Cap,Total Debt,Firm Value,Enterprise Value,Cash,Revenues: Last yr,Trailing 12-mth Revenues,Current PE,Trailing PE,Forward EPS,Forward PE,PEG Ratio,PBV Ratio,PS Ratio,EV/EBIT,EV/EBITDA,EV/ Invested Capital,Value/BV of Capital,EV/Sales,EV/ Trailing Sales,Growth in EPS: Last 5 years,Expected Growth in EPS: next 5 years,Expected Growth in Revenues: next 5 years,Growth in Revenue- last year, 3-yr Regression Beta,Value Line Beta,HiLo risk,3-yr Standard Deviation (Stock Price),Reinvestment,Correlation,Payout Ratio,Reinvestment Rate,ROE,ROC,Net Margin,Pre-tax Operating Margin,Invested Capital,Book Value of Equity,BV of Assets,Non-cash WC,Chg in non-cash WC,Net Income,EBIT,EBIT(1-t),EBITDA,FCFF,Eff Tax Rate,Eff Tax Rate (+ve income),Non-cash WC as % of Revenues,Cash as % of Firm Value,Cash as % of Revenues,Cash as % of Total Assets,Capital Expenditures,Depreciation,SG&A Expenses,Trailing Revenues,Trailing Net Income,Dividends,Intangible Assets/Total Assets,Fixed Assets/Total Assets,Market D/E,Market Debt to Capital,Book Debt to Capital,Dividend Yield,Insider Holdings,Institutional Holdings,Fiscal Year End Date
Bancolombia S.A.,CIB,Bank,6000,NYS,10,$59.56,322566,787.8,"$48,199.30","$5,776.00","$53,975.30","$51,177.30","$2,798.00",NA,NA,63.71,NA,NA,NA,5.58,11.51,NA,19.59,19.59,7.14,5.42,NA,NA,NA,11.41%,NA,NA,1.16,1.05,0.1321,35.29%,$0.00,0.7438,0.00%,0.00%,18.08%,26.94%,NA,NA,7163.8,4185.8,35865.7,$0.00,NA,$756.60,"$2,612.60","$1,929.64","$	2,612.60","$1,929.64",26.14%,26.14%,NA,5.18%,NA,7.80%,$0.00,$0.00,$555.30,NA,NA,$0.00,1.10%,0.00%,11.98%,10.70%,57.98%,0.00%,NA,22.63%,12/31/10
Communication Intelligence,CICI,Computers/Peripherals,3573,NDQ,2,$0.05,53942,191.5,$7.60,$0.00,$7.60,$5.70,$1.90,$0.90,$2.00,NA,NA,NA,NA,NA,3.62,8.44,NA,NA,28.50,3.62,6.33,2.85,NA,NA,NA,-55.56%,0.01,0.60,0.6667,129.30%,-$2.11,0.1160,NA,NA,-300.00%,-4720.60%,-700.00%,-1049.02%,0.2,2.1,4.9,-$1.40,-$1.71,-$6.30,-$9.44,-$9.44,$	(9.04),-$7.33,0.00%,NA,-155.56%,25.00%,211.11%,38.78%,$0.00,$0.40,$4.20,$2.00,-$3.60,$0.00,48.98%,0.00%,0.00%,0.00%,0.00%,0.00%,NA,NA,12/31/10
Cicero Inc,CICN,Computer Software,3579,NDQ,1,$0.05,28540,47.1,$2.40,$5.90,$8.30,$8.30,$0.00,$3.00,$1.00,NA,NA,NA,NA,NA,NA,0.80,NA,NA,NA,NA,2.77,8.30,NA,NA,NA,19.22%,NA,0.65,0.6000,NA,$2.77,NA,NA,NA,NA,NA,-16.67%,-47.68%,-0.8,-6.7,4.8,-$5.20,$3.47,-$0.50,-$1.43,-$1.43,$	(0.73),-$4.20,0.00%,NA,-173.33%,0.00%,0.00%,0.00%,$0.00,$0.70,$4.10,$1.00,-$3.30,$0.00,58.33%,0.00%,245.83%,71.08%,NA,0.00%,NA,0.44%,12/31/10
Cinedigm Digital Cinema Corp,CIDM,Information Services,8900,NDQ,4,$1.37,67728,32.3,$53.80,$272.90,$326.70,$316.00,$10.70,$79.90,$88.60,NA,NA,NA,NA,NA,29.89,0.67,85.41,7.71,1.20,1.19,3.95,3.57,NA,NA,NA,-1.33%,1.46,1.10,0.4325,90.00%,$8.08,0.3056,NA,218.37%,-1466.67%,1.40%,-33.04%,4.63%,264,1.8,307.5,$19.10,$2.08,-$26.40,$3.70,$3.70,$	41.00,-$4.38,0.00%,NA,23.90%,3.28%,13.39%,3.48%,$43.30,$37.30,$20.80,$88.60,-$17.00,$0.00,3.48%,73.01%,507.25%,83.53%,99.34%,0.00%,NA,27.12%,3/31/11
Cobalt International Energy,CIE,Petroleum (Producing),1300,NYS,9,$15.52,990450,350.7,"$6,182.70",$0.00,"$6,182.70","$5,345.00",$837.70,NA,NA,NA,NA,NA,NA,NA,3.60,NA,NA,NA,6.06,3.60,NA,NA,NA,NA,NA,NA,NA,NA,0.4643,NA,$34.70,NA,NA,NA,-7.94%,NA,NA,NA,881.3,1719,1746.4,$27.30,NA,-$136.50,NA,NA,NA,NA,0.00%,NA,NA,13.55%,NA,47.97%,$35.50,$0.80,$48.10,NA,-$112.40,$0.00,0.00%,26.56%,0.00%,0.00%,0.00%,0.00%,NA,NA,12/31/10
Ciena Corp.,CIEN,Telecom. Equipment,4811,NDQ,8,$12.10,6328647,94.1,"$1,161.60","$1,442.70","$2,604.30","$1,915.60",$688.70,"$1,236.60","$1,742.00",NA,NA,-$0.40,NA,NA,7.29,0.94,NA,NA,2.10,1.63,1.55,1.10,NA,NA,17.50%,85.41%,2.39,1.50,0.4945,68.44%,$124.06,0.5479,NA,NA,-209.35%,-17.58%,-26.97%,-12.98%,913.3,159.3,2118.1,$283.00,$115.66,-$333.50,-$160.56,-$160.56,$	(117.76),-$284.62,0.00%,NA,22.89%,26.44%,55.69%,32.51%,$51.20,$42.80,$623.80,"$1,742.00",-$194.50,$0.00,20.13%,5.68%,124.20%,55.40%,90.06%,0.00%,2.40%,NA,10/31/10
Star Scientific Inc,CIGX,Tobacco,2085,NDQ,6,$2.18,2658702,127.1,$313.30,$7.50,$320.80,$307.60,$13.20,$0.80,$1.10,NA,NA,NA,NA,NA,29.28,391.63,NA,NA,61.52,17.63,384.50,279.64,NA,NA,NA,-4.70%,2.7,1.30,0.5620,157.16%,$1.68,0.2068,NA,NA,-264.49%,-729.87%,-3537.50%,-4561.70%,5,10.7,20.3,$1.80,$0.68,-$28.30,-$36.49,-$36.49,$	(36.19),-$38.17,0.00%,NA,225.00%,4.11%,1650.00%,65.02%,$1.30,$0.30,$26.90,$1.10,-$22.70,$0.00,2.96%,10.84%,2.39%,2.34%,41.21%,0.00%,NA,18.62%,12/31/10
China Infrastructure Invsmt.,CIIC,Diversified Co.,9913,NDQ,3,$0.22,128060,80,$20.80,$526.90,$547.70,$547.10,$0.60,$55.80,$48.60,2.24,2.48,NA,NA,NA,0.39,0.37,16.89,12.29,0.94,0.94,9.80,11.26,NA,NA,NA,30.88%,-0.92,1.45,0.7241,158.85%,-$14.39,0.2282,0.00%,-44.41%,17.45%,5.59%,16.67%,58.06%,579.6,53.3,602.9,$19.30,-$2.49,$9.30,$32.40,$32.40,$	44.50,$46.79,0.00%,0.00%,34.59%,0.11%,1.08%,0.10%,$0.20,$12.10,$5.90,$48.60,$8.40,$0.00,7.60%,75.87%,2533.17%,96.20%,90.81%,0.00%,NA,0.10%,6/30/11
China Intelligent Lghtg & Elec,CILE,Furn/Home Furnishings,2500,NDQ,1,$0.01,38984,7.1,$0.10,$0.90,$1.00,$0.50,$0.50,$59.30,$72.30,0.01,0.01,NA,NA,NA,0.01,0.00,0.06,0.06,0.03,0.05,0.01,0.01,NA,NA,NA,NA,NA,NA,1.0000,NA,$2.97,NA,0.00%,39.42%,42.46%,41.12%,12.82%,14.50%,18.3,17.9,24.2,$14.90,$3.27,$7.60,$8.60,$7.52,$	9.00,$4.56,12.50%,12.64%,25.13%,50.00%,0.84%,2.07%,$0.10,$0.40,$4.90,$72.30,$7.70,$0.00,0.00%,14.46%,900.00%,90.00%,4.79%,0.00%,NA,NA,12/31/09
Cimatron Ltd,CIMT,Computer Software,3579,NDQ,3,$3.22,44429,7.9,$26.50,$1.20,$27.70,$18.70,$9.00,$28.60,$38.60,13.95,10.19,NA,NA,NA,2.41,0.93,11.00,7.19,5.84,2.27,0.65,0.48,NA,NA,NA,32.57%,-0.14,1.00,0.3316,69.62%,-$1.03,0.3591,0.00%,-64.04%,17.27%,50.47%,6.64%,5.94%,3.2,11,27.3,-$2.10,-$0.73,$1.90,$1.70,$1.62,$	2.60,$2.65,5.00%,5.00%,-7.34%,32.49%,31.47%,32.97%,$0.60,$0.90,$21.50,$38.60,$2.60,$0.00,15.38%,4.76%,4.53%,4.33%,9.84%,0.00%,NA,4.09%,12/31/07
Cincinnati Financial,CINF,Insurance (Prop/Cas.),6330,NDQ,9,$30.46,1248207,163,"$4,918.30",$790.00,"$5,708.30","$5,708.30",$0.00,NA,NA,17.95,52.32,$1.42,21.45,5.13,0.98,NA,NA,NA,0.98,0.98,NA,NA,-9.00%,3.50%,NA,NA,0.9,0.95,0.1842,23.11%,$17.00,0.8000,95.14%,NA,5.45%,NA,NA,NA,5822,5032,15095,$0.00,NA,$274.00,NA,NA,NA,NA,20.12%,20.12%,NA,0.00%,NA,0.00%,$17.00,$0.00,"$2,924.00",NA,$94.00,$260.67,0.00%,1.52%,16.06%,13.84%,13.57%,5.30%,10.30%,59.68%,12/31/10
CIRCOR Intl Inc,CIR,Machinery,3500,NYS,7,$35.31,99844,17.1,$616.80,$1.60,$618.40,$572.50,$45.90,$685.90,$799.40,48.95,18.14,$2.10,16.81,NA,1.73,0.90,12.00,8.79,1.83,1.73,0.83,0.72,NA,NA,NA,5.98%,1.21,1.20,0.2945,40.55%,$14.18,0.7398,20.56%,29.73%,3.53%,15.26%,1.84%,6.95%,312.5,356.8,616.2,$100.80,$16.68,$12.60,$47.70,$47.70,$	65.10,$33.52,0.00%,0.00%,14.70%,7.42%,6.69%,7.45%,$14.90,$17.40,$149.50,$799.40,$34.00,$2.59,20.37%,15.55%,0.26%,0.26%,0.45%,0.42%,NA,98.74%,12/31/10
CirTran Corp,CIRC,Electrical Equipment,3600,NDQ,3,$0.00,1331267,1499,$18.00,$7.10,$25.10,$25.10,$0.00,$9.70,$13.90,NA,NA,NA,NA,NA,NA,1.86,NA,NA,NA,NA,2.59,1.81,NA,NA,NA,-35.07%,NA,0.40,1.0000,NA,-$4.12,NA,NA,NA,NA,NA,-50.52%,-59.96%,-1.4,-8.5,13.6,-$7.90,-$3.42,-$4.90,-$5.82,-$5.82,$	(5.12),-$1.70,0.00%,NA,-81.44%,0.00%,0.00%,0.00%,$0.00,$0.70,$4.40,$13.90,-$5.70,$0.00,9.56%,3.68%,39.44%,28.29%,NA,0.00%,NA,NA,12/31/09
CNinsure Inc,CISG,Insurance (Prop/Cas.),6330,NDQ,6,$6.92,510378,50.1,$348.00,$0.00,$348.00,$46.80,$301.20,$232.40,$238.10,5.26,5.91,$1.36,5.09,0.22,0.73,1.50,0.69,0.62,0.26,0.73,0.20,0.20,NA,24.45%,NA,17.00%,1.51,1.10,0.5963,61.06%,-$3.96,0.4504,0.00%,-7.26%,13.80%,30.67%,28.44%,29.09%,177.8,479,603.2,$14.00,$0.34,$66.10,$67.60,$54.52,$	75.70,$58.48,19.34%,15.58%,6.02%,86.55%,129.60%,49.93%,$3.80,$8.10,$54.00,$238.10,$58.90,$0.00,33.59%,2.65%,0.00%,0.00%,0.00%,0.00%,NA,45.22%,12/31/10
Avalon Correctional Svcs Inc.,CITY,Industrial Services,7300,NDQ,2,$3.50,3167,3.4,$11.60,$26.10,$37.70,$24.20,$13.50,$26.00,$27.40,38.67,2.11,NA,NA,NA,0.62,0.45,8.96,5.26,0.77,0.84,0.93,0.88,NA,NA,NA,19.78%,-0.35,0.40,0.5491,58.74%,-$0.34,0.1702,0.00%,-12.62%,1.60%,8.60%,1.15%,10.38%,31.4,18.8,52.9,$1.10,$0.06,$0.30,$2.70,$2.70,$	4.60,$3.04,0.00%,0.00%,4.23%,35.81%,51.92%,25.52%,$1.50,$1.90,$4.70,$27.40,$5.50,$0.00,1.13%,46.50%,225.00%,69.23%,58.13%,0.00%,NA,NA,12/31/10
CFS Bancorp Inc,CITZ,Bank (Midwest),6001,NDQ,4,$4.31,6158,10.9,$46.80,$0.00,$46.80,-$15.00,$61.80,NA,NA,13.37,15.60,$0.28,15.39,NA,0.41,NA,NA,NA,-0.29,0.41,NA,NA,NA,NA,NA,NA,0.82,0.75,0.1949,54.91%,$0.00,0.3415,12.44%,0.00%,3.10%,24.52%,NA,NA,51.1,112.9,1121.7,$0.00,NA,$3.50,$15.10,$12.53,$	15.10,$12.53,17.03%,16.67%,NA,132.05%,NA,5.51%,$0.00,$0.00,$8.40,NA,$3.00,$0.44,0.00%,1.83%,0.00%,0.00%,0.00%,0.93%,NA,25.75%,12/31/10
China Industrial Waste Mgmt,CIWT,Environmental,4953,NDQ,2,$0.28,13071,15.3,$6.10,$23.20,$29.30,$17.90,$11.40,$10.60,$27.20,3.05,1.02,NA,NA,NA,0.23,0.58,13.77,7.16,0.47,0.59,1.69,0.66,NA,NA,NA,-21.25%,NA,0.75,0.7200,NA,$12.87,NA,0.00%,990.28%,7.66%,3.43%,18.87%,12.26%,37.9,26.1,67.3,-$0.40,-$0.63,$2.00,$1.30,$1.30,$	2.50,-$11.57,0.00%,0.00%,-3.77%,38.91%,107.55%,16.94%,$14.70,$1.20,$5.10,$27.20,$6.00,$0.00,9.06%,61.52%,380.33%,79.18%,47.06%,0.00%,NA,NA,12/31/09
Citizens Financial Corp/DE,CIWV,Bank,6000,NDQ,1,$0.95,2010,1.8,$1.40,$7.90,$9.30,$5.40,$3.90,NA,NA,1.56,0.88,NA,NA,NA,0.07,NA,0.73,0.73,0.22,0.32,NA,NA,NA,NA,NA,NA,-0.18,0.25,0.9048,52.18%,$0.00,0.1198,0.00%,0.00%,4.33%,27.25%,NA,NA,24.8,20.8,282.5,$0.00,NA,$0.90,$7.40,$6.76,$	7.40,$6.76,8.67%,10.00%,NA,41.94%,NA,1.38%,$0.00,$0.00,$5.70,NA,$1.60,$0.00,0.00%,0.00%,564.29%,84.95%,27.53%,0.00%,NA,NA,12/31/08
CompX Intl 'A',CIX,Machinery,3500,NYS,5,$14.73,4267,12.4,$173.00,$45.20,$218.20,$204.30,$13.90,$135.30,$138.00,57.67,23.70,$0.89,16.55,NA,2.06,1.28,20.03,11.41,1.77,1.69,1.51,1.48,NA,NA,NA,16.42%,0.8,0.75,0.2349,41.29%,-$4.96,0.4541,206.45%,-121.46%,3.58%,3.54%,2.22%,7.54%,115.2,83.9,160.1,$32.30,$0.64,$3.00,$10.20,$4.08,$	17.90,$9.04,60.00%,65.91%,23.87%,6.37%,10.27%,8.68%,$2.10,$7.70,$25.80,$138.00,$7.30,$6.19,20.17%,37.41%,26.13%,20.71%,35.01%,3.58%,NA,37.00%,12/31/10
Citizens Holding Company,CIZN,Bank,6000,NDQ,4,$17.52,1806,4.8,$86.60,$84.40,$171.00,$154.00,$17.00,NA,NA,12.03,12.20,NA,NA,NA,1.13,NA,5.79,5.79,1.07,1.06,NA,NA,1.00%,NA,NA,NA,NA,0.35,0.1748,NA,$0.00,NA,0.00%,0.00%,9.44%,14.34%,NA,NA,143.7,76.3,818.2,$0.00,NA,$7.20,$26.60,$20.61,$	26.60,$20.61,22.52%,21.74%,NA,9.94%,NA,2.08%,$0.00,$0.00,$5.20,NA,$7.10,$0.00,0.42%,0.00%,97.46%,49.36%,52.52%,0.00%,NA,6.48%,12/31/10
C&J Energy Services Inc,CJES,Pipeline MLPs,4619,NYS,8,$20.93,0,47.5,"$1,121.30",$72.00,"$1,193.30","$1,190.50",$2.80,$244.20,NA,34.72,NA,$3.18,6.58,NA,10.25,4.59,16.56,14.41,6.67,6.58,4.88,NA,NA,NA,NA,NA,NA,NA,0.4451,NA,$33.80,NA,0.00%,76.68%,29.52%,24.68%,13.23%,29.44%,178.6,109.4,226.1,$24.80,NA,$32.30,$71.90,$44.08,$	82.60,$10.28,38.69%,38.59%,10.16%,0.23%,1.15%,1.24%,$44.50,$10.70,$18.00,NA,NA,$0.00,29.23%,39.10%,6.42%,6.03%,39.69%,0.00%,NA,53.11%,12/31/10
China Jo-Jo Drugstores Inc,CJJD,Retail (Hardlines),5999,NDQ,2,$1.14,42544,13.5,$15.00,$3.60,$18.60,$12.10,$6.50,$70.00,NA,1.79,NA,NA,NA,NA,0.36,0.21,1.04,0.98,0.31,0.41,0.17,NA,NA,NA,NA,-6.28%,NA,NA,0.7021,NA,$3.80,NA,0.00%,46.45%,19.95%,20.87%,12.00%,16.57%,39.2,42.1,53.9,$24.90,NA,$8.40,$11.60,$8.18,$	12.40,$4.38,29.47%,30.00%,35.57%,34.95%,9.29%,12.06%,$4.60,$0.80,$9.60,NA,NA,$0.00,0.74%,10.20%,24.00%,19.35%,7.88%,0.00%,NA,5.69%,3/31/11
Corus Entertainment Inc,CJREF,Entertainment,7950,NDQ,8,$20.24,5083,81.1,"$1,635.80",$715.10,"$2,350.90","$2,342.90",$8.00,$836.20,$843.80,13.03,11.52,NA,NA,NA,1.71,1.96,9.73,8.87,1.41,1.41,2.80,2.78,30.50%,NA,NA,4.61%,NA,0.95,0.1613,NA,$61.30,NA,0.00%,32.12%,13.13%,11.48%,15.01%,28.81%,1663,955.9,2059.3,$165.00,$1.50,$125.50,$240.90,$190.86,$	264.10,$129.56,20.77%,24.31%,19.73%,0.34%,0.96%,0.39%,$83.00,$23.20,$0.00,$843.80,$142.00,$0.00,66.33%,7.85%,43.72%,30.42%,42.79%,0.00%,NA,0.54%,8/31/10
Carmike Cinemas Inc,CKEC,Recreation,7900,NDQ,4,$6.88,102648,12.9,$93.50,$353.30,$446.80,$433.70,$13.10,$491.30,$478.40,NA,NA,NA,NA,NA,935.00,0.19,13.72,6.80,1.27,1.26,0.88,0.91,NA,9.00%,NA,-4.70%,3.11,1.50,0.2242,110.16%,-$15.17,0.3404,NA,-48.00%,-12600.00%,9.29%,-2.56%,6.43%,340.3,0.1,454.8,-$5.00,$0.13,-$12.60,$31.60,$31.60,$	63.80,$46.77,0.00%,NA,-1.02%,2.93%,2.67%,2.88%,$16.90,$32.20,$21.40,$478.40,-$11.00,$0.00,0.13%,80.96%,377.86%,79.07%,99.97%,0.00%,NA,55.39%,12/31/10
China Kangtai Cactus Bio-Tech,CKGT,Food Processing,2000,NDQ,2,$0.28,44167,22.3,$6.70,$1.00,$7.70,$5.10,$2.60,$36.00,$41.80,0.57,0.54,NA,NA,NA,0.15,0.19,0.45,0.40,0.12,0.17,0.14,0.12,NA,NA,NA,22.18%,0.63,0.75,0.6693,112.20%,$2.21,0.1671,0.00%,24.65%,26.11%,20.58%,32.78%,31.39%,43.6,45.2,48.5,$6.90,$1.11,$11.80,$11.30,$8.97,$	12.70,$6.76,20.59%,20.27%,19.17%,33.77%,7.22%,5.36%,$2.50,$1.40,$1.70,$41.80,$12.40,$0.00,60.00%,16.29%,14.93%,12.99%,2.16%,0.00%,NA,NA,12/31/10
Seacor Holdings,CKH,Oilfield Svcs/Equip.,3533,NYS,8,$88.96,158584,21.4,"$1,973.20",$718.50,"$2,691.70","$2,174.30",$517.40,"$2,649.40","$2,160.50",8.06,38.61,NA,NA,NA,1.10,0.74,5.99,4.13,1.09,1.07,0.82,1.01,25.50%,NA,NA,63.59%,0.92,0.95,0.2027,27.32%,$67.26,0.8000,0.00%,29.72%,13.69%,11.38%,9.24%,13.70%,1988.3,1787.2,3760.4,$107.50,-$19.84,$244.70,$363.10,$226.33,$	526.60,$159.07,37.67%,34.48%,4.06%,19.22%,19.53%,13.76%,$250.60,$163.50,$192.50,"$2,160.50",$51.10,$0.00,2.19%,52.35%,36.41%,26.69%,28.67%,0.00%,NA,87.37%,12/31/10
Checkpoint Systems,CKP,Precision Instrument,3800,NYS,6,$10.94,217562,39.8,$444.60,$141.90,$586.50,$412.60,$173.90,$834.50,$858.20,16.23,NA,$0.61,17.93,0.36,0.76,0.53,8.12,4.84,0.75,0.81,0.49,0.48,-14.00%,45.00%,5.50%,5.92%,1.54,1.05,0.3699,44.20%,-$6.62,0.5939,0.00%,-17.71%,4.69%,6.77%,3.28%,6.09%,552.3,584.3,1035.3,$147.10,$4.18,$27.40,$50.80,$37.39,$	85.30,$44.02,26.39%,25.95%,17.63%,29.65%,20.84%,16.80%,$23.70,$34.50,$295.80,$858.20,-$41.30,$0.00,31.11%,11.72%,31.92%,24.19%,19.54%,0.00%,4.80%,96.05%,12/26/10
Ckrush Inc.,CKRU,Advertising,7310,NDQ,1,$0.00,8562,16.8,$0.20,$2.40,$2.60,$2.50,$0.10,$1.10,$0.40,NA,NA,NA,NA,NA,NA,0.18,NA,NA,NA,NA,2.27,6.25,NA,NA,NA,241.03%,NA,0.55,NA,NA,$2.60,NA,NA,NA,NA,NA,-681.82%,-258.11%,-8.5,-10.8,2.5,-$4.40,$2.80,-$7.50,-$2.84,-$2.84,$	(2.64),-$5.44,0.00%,NA,-400.00%,3.85%,9.09%,4.00%,$0.00,$0.20,$7.20,$0.40,-$7.00,$0.00,48.00%,4.00%,1200.00%,92.31%,NA,0.00%,NA,NA,12/31/07
ClickSoftware Technologies,CKSW,Computer Software,3579,NDQ,6,$9.59,150129,30.6,$297.10,$0.00,$297.10,$246.80,$50.30,$71.00,$81.60,33.01,27.26,$0.50,19.18,1.89,5.49,4.18,23.96,20.07,64.95,5.49,3.48,3.02,NA,17.50%,NA,14.71%,0.61,1.05,0.2122,61.97%,-$0.74,0.4236,108.94%,-8.26%,16.64%,235.40%,12.68%,14.51%,3.8,54.1,79.8,-$1.60,-$0.24,$9.00,$10.30,$8.95,$	12.30,$9.68,13.15%,13.46%,-2.25%,16.93%,70.85%,63.03%,$1.50,$2.00,$33.90,$81.60,$10.90,$9.80,5.64%,4.26%,0.00%,0.00%,0.00%,3.30%,NA,42.95%,12/31/10
CKX Lands Inc,CKX,Property Management,6510,AMS,3,$11.35,1769,1.9,$22.40,$0.00,$22.40,$17.20,$5.20,$1.70,$1.90,24.89,24.89,NA,NA,NA,2.20,13.18,17.20,15.64,3.44,2.20,10.12,9.05,-2.50%,NA,NA,-3.02%,0.02,0.45,0.1894,28.60%,$0.26,0.3934,60.23%,36.58%,8.82%,14.15%,52.94%,58.82%,5,10.2,10.5,$0.50,$0.06,$0.90,$1.00,$0.71,$	1.10,$0.45,29.24%,30.77%,29.41%,23.21%,305.88%,49.52%,$0.30,$0.10,$0.40,$1.90,$0.90,$0.54,0.00%,36.19%,0.00%,0.00%,0.00%,2.42%,NA,6.28%,12/31/10
Colgate-Palmolive,CL,Household Products,2840,NYS,10,$92.39,2704277,494.9,"$44,975.90","$3,424.00","$48,399.90","$47,909.90",$490.00,"$15,564.00","$16,540.00",20.42,18.02,$5.41,17.08,1.86,16.81,2.89,12.64,11.50,8.54,7.94,3.08,2.90,10.50%,11.00%,8.00%,1.40%,0.39,0.60,0.1180,14.83%,$181.59,0.8000,51.24%,7.11%,82.36%,45.57%,14.15%,24.35%,5609,2675,11172,$121.00,$7.59,"$2,203.00","$3,790.00","$2,555.75","$	4,166.00","$2,374.16",32.57%,35.77%,0.78%,1.01%,3.15%,4.39%,$550.00,$376.00,"$5,414.00","$16,540.00","$2,496.00","$1,128.90",28.58%,33.06%,7.61%,7.07%,56.14%,2.51%,1.20%,72.32%,12/31/10
Core Laboratories,CLB,Oilfield Svcs/Equip.,3533,NYS,9,$113.95,457279,45.5,"$5,476.80",$147.50,"$5,624.30","$5,490.40",$133.90,$794.70,$872.00,37.80,31.93,$4.25,26.81,2.70,18.92,6.89,24.43,22.16,18.11,12.87,6.91,6.30,43.00%,14.00%,10.50%,15.39%,0.41,1.10,0.1851,30.43%,$12.63,0.8000,32.13%,8.09%,50.05%,51.54%,18.23%,28.27%,303.1,289.5,636,$83.60,$8.13,$144.90,$224.70,$156.21,$	247.80,$143.58,30.48%,30.70%,10.52%,2.38%,16.85%,21.05%,$27.60,$23.10,$33.00,$872.00,$171.50,$46.55,25.61%,16.38%,2.69%,2.62%,33.75%,0.85%,2.20%,97.03%,12/31/10
Columbia Commercial Bancorp,CLBC,Bank,6000,NDQ,1,$1.33,3925,3.1,$4.20,$65.30,$69.50,$50.80,$18.70,NA,NA,NA,NA,NA,NA,NA,0.24,NA,6.27,6.27,0.79,0.84,NA,NA,NA,NA,NA,NA,1.02,0.55,0.4250,67.30%,$0.00,0.2043,NA,0.00%,-6.36%,12.68%,NA,NA,63.9,17.3,358.5,$0.00,NA,-$1.10,$8.10,$8.10,$	8.10,$8.10,0.00%,NA,NA,26.91%,NA,5.22%,$0.00,$0.00,$5.30,NA,NA,$0.00,0.00%,0.00%,1554.76%,93.96%,79.06%,0.00%,NA,3.40%,12/31/10
Carolina Bank Holdings Inc,CLBH,Bank,6000,NDQ,2,$2.45,3790,3.4,$8.00,$22.60,$30.60,$25.50,$5.10,NA,NA,NA,2.76,NA,NA,NA,0.18,NA,1.01,1.01,0.41,0.46,NA,NA,NA,NA,NA,NA,0.34,0.60,0.3793,42.87%,$0.00,0.3499,NA,0.00%,-5.42%,40.94%,NA,NA,61.8,44.3,676.7,$0.00,NA,-$2.40,$25.30,$25.30,$	25.30,$25.30,0.00%,NA,NA,16.67%,NA,0.75%,$0.00,$0.00,$8.70,NA,$2.90,$0.00,0.00%,0.00%,282.50%,73.86%,33.78%,0.00%,NA,7.02%,12/31/10
CLARCOR Inc.,CLC,Packaging & Container,2640,NYS,9,$49.99,269889,50.4,"$2,543.60",$17.40,"$2,561.00","$2,443.30",$117.70,"$1,011.40","$1,094.70",26.47,21.95,$2.51,19.92,2.12,3.36,2.51,16.89,13.91,3.72,3.31,2.42,2.23,9.50%,12.50%,8.00%,11.52%,0.98,0.90,0.1347,28.96%,$12.70,0.7769,25.14%,13.07%,12.70%,14.81%,9.50%,14.31%,656.2,756.5,1042.4,$245.30,$20.20,$96.10,$144.70,$97.21,$	175.60,$84.51,32.82%,32.98%,24.25%,4.60%,11.64%,11.29%,$23.40,$30.90,$193.80,"$1,094.70",$115.90,$24.16,30.63%,17.38%,0.68%,0.68%,2.25%,0.95%,5.20%,89.62%,11/30/10
Collectors Universe Inc,CLCT,Recreation,7900,NDQ,5,$14.57,34022,7.9,$112.20,$0.00,$112.20,$90.30,$21.90,$44.40,$46.70,22.44,20.78,NA,NA,NA,4.47,2.53,9.31,8.85,28.22,4.47,2.03,1.93,16.50%,NA,NA,8.22%,NA,0.90,0.2372,NA,-$0.04,NA,210.26%,-0.68%,19.92%,182.12%,11.26%,21.85%,3.2,25.1,36.5,-$2.70,-$0.14,$5.00,$9.70,$5.83,$	10.20,$5.87,39.92%,40.48%,-6.08%,19.52%,49.32%,60.00%,$0.60,$0.50,$17.50,$46.70,$5.40,$10.51,8.77%,3.56%,0.00%,0.00%,0.00%,9.37%,NA,17.68%,6/30/11
Cloud Peak Energy Inc,CLD,Coal,1220,NYS,8,$19.32,1191738,60.9,"$1,230.10",$595.70,"$1,825.80","$1,485.70",$340.10,"$1,370.80","$1,497.00",26.17,6.57,$2.14,9.03,NA,2.32,0.90,6.99,4.70,1.89,1.62,1.08,0.99,NA,NA,NA,-50.72%,NA,1.35,0.2163,NA,-$10.34,NA,0.00%,-6.36%,8.85%,20.67%,3.43%,15.51%,786.8,531.2,1915.1,$13.70,$1.26,$47.00,$212.60,$162.62,$	315.80,$172.96,23.51%,71.74%,1.00%,18.63%,24.81%,17.76%,$91.60,$103.20,$63.60,"$1,497.00",$187.10,$0.00,1.86%,52.65%,48.43%,32.63%,52.86%,0.00%,NA,94.21%,12/31/10
